id,object_type,rights_statement,title,handle_link,format,archival_collection,notes,railroad,map_type,creator,publisher,region,waterway,states,regions,counties,cities,extent,display_date,start_date,path,files
G3880 1752.B68 MAP 0369,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,New annd Accurate Map of Virginia and Maryland.,http://hdl.handle.net/1903.1/12529,http://vocab.lib.umd.edu/form#maps,,SPECIAL PERMISSION USE ONLY.,,historical maps,,"Bowen, Emanuel.",,Chesapeake Bay,Maryland and Virginia,,,,1 sheet,1751,1751,new-annd-accurate-map,
MAS 002,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"A Map of Maryland With the Delaware Counties and the Southern Part of New Jersey, etc.",,http://vocab.lib.umd.edu/form#maps,,"Includes two copies: on in color, on in black and white.",,Historical maps,,"Kitchin, T.",,,Mid-Atlantic,,,,1 sheet,1757,1757,a-map-of-maryland-with,
G3880 1757.R6,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Carte de la Virginia et du Maryland,http://hdl.handle.net/1903.1/12554,http://vocab.lib.umd.edu/form#maps,,SPECIAL PERMISSION USE ONLY. Published by Robert de Vaugondy.,,historical maps,,"Fry, Joshua et Pierre Jefferson",,Chesapeake Bay,Virginia,,,,1 sheet,1757,1757,carte-de-la-virginia-et,maryland-maps/maps/1757/01/g3880_1757.r62.jpg/g3880_1757.r62_original.jpg
MD/VA 001,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Virginia and Maryland,,http://vocab.lib.umd.edu/form#maps,,See also MD/VA 16 and Homann's Atlas (Rare Books G1015.H65 1751 OVERSIZE).,,Historical maps,,Homann,,,Maryland and Virginia,,,,1 sheet,1759,1759,virginia-and-maryland,maryland-maps/maps/2008/12/mdva001.jpg/mdva001_original.jpg
MD/VA 023,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Pennsylvania, Maryland and Part of Virginia",,http://vocab.lib.umd.edu/form#maps,,"This map is a photocopy, the original is located in Historical Manuscripts: ARCV, MD MSS #3636. See also related Senex 1732 map in MD OVR F157.B7B25 1732.",,Historical maps,,"Senex, John",,,Maryland and Virginia,,,,1 sheet,1760,1760,pennsylvania-maryland,
WMD 008,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,The Early Western Frontier of Maryland Before 1760,,http://vocab.lib.umd.edu/form#maps,,"From UMCP Master's thesis by Carl D. Bell; Year: 1760, 1948",,,,"Bell, Carl D",,,,Western Maryland,,,0 sheets,1760/1948,1760,the-early-western-frontier,
MD/VA 037,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Carte de la Virginia et du Maryland, ou de la baie de Chesapeake et pays voisins",,http://vocab.lib.umd.edu/form#maps,,,,Historical maps,,"Bellin, N",,,Maryland and Virginia,,,,1 sheet,1764,1764,carte-de-la-virginia-et002,maryland-maps/maps/2008/12/mdva37.jpg/mdva37_original.jpg
MD 082,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,A Plan of the Boundary Lines Between the Province of Maryland and the Three Lower Counties of Delaware,,http://vocab.lib.umd.edu/form#maps,,Originally bound with: MD F187.B7M4,,Regional Map,,Mason and Dixon Line Resurvey Commission.,,,Maryland,,,,4 sheets,1768,1768,a-plan-of-the-boundary,
MAS 026,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,A New Map of the English Plantation in America,,http://vocab.lib.umd.edu/form#maps,,This copy is a reprint by the John Carter Brown Library from 1984.,,Historical maps,,"Morden, Robert",,,Mid-Atlantic,,,,1 sheet,1777~,1777(circa),a-new-map-of-the-english,
xG3842 .C5P5 1778.F7,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Carte de la Baie de Chesapeake et de la partie navigable,,http://vocab.lib.umd.edu/form#maps,,,,Navigation Chart,,"Originally drawn by Anthony Smith, Published by Antoine d'Sartine",,Chesapeake Bay,,,,,1 sheet,1778,1778,carte-de-la-baie-de-chesapeake,
MAS 022,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"II Maryland, il Merdionale, la Delaware, e lat parte orientale della Virginia, e Carolina settentrionale",,http://vocab.lib.umd.edu/form#maps,,Part 8 of Zatta's 12 sheet map of the North American colonies.,,Historical maps,,"Zatta, Antonio",,,Mid-Atlantic,,,,12 sheets,1778,1778,ii-maryland-il-merdionale,
MD 007,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,A New Map of the Province of Maryland in North America,,http://vocab.lib.umd.edu/form#maps,,,,Historical Map,,Universal Magazine,,,Maryland,,,,1 sheet,1780,1780,a-new-map-of-the-province,maryland-maps/maps/2008/12/md007.jpg/md007_original.jpg
MD 049,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Plan des differents camps occupes par l'armee aux ordres de M. le Comte de Rochambeau; Amerique campagne 1782.,,http://vocab.lib.umd.edu/form#maps,,,,Historical Map,,Comte de Rochambeau,,,Maryland,,,,10 sheets,1782,1782,plan-des-differents-camps,
MD/VA 038,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Carte de la Virginie, du Maryland et de l'etat de Delaware",,http://vocab.lib.umd.edu/form#maps,,,,Historical maps,,"Hilliard d'Auberteuil, Michel Rene",,,Maryland and Virginia,,,,1 sheet,1782,1782,carte-de-la-virginie,maryland-maps/maps/2008/12/mdva38.jpg/mdva38_original.jpg
MD/VA 026,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Bowle's New Pocket Map of the Following Independent States of North America, viz: Virginia, Maryland, Delaware",,http://vocab.lib.umd.edu/form#maps,,,,Historical maps,,"Evans, Lewis.",,,Maryland and Virginia,,,,1 sheet,1784,1784,bowle39s-new-pocket,
BA 005,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Lord Baltimore Gunpowder Manor, Baltimore County, Now the Long Green Valley, as Surveyed by the State of Maryland, 1785",,http://vocab.lib.umd.edu/form#maps,,Orignally bound with: Maryland HD266.M32B286 (published: 1976),,,,,,,,,Baltimore County,,1 sheet,1785/1976,1785,lord-baltimore-gunpowder,
CE 045,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Survey of Roads in Cecil County,,http://vocab.lib.umd.edu/form#maps,,"Dated June 30, 1792, the map includes proposed roads, houses, churches, and creeks.",,Historical maps,,Cecil County Levy Court,,,,,Cecil County,,1 sheet,1792,1792,survey-of-roads-in-cecil,
DC 029,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Plan of the City of Washington in the Territory of Columbia,,http://vocab.lib.umd.edu/form#maps,,"Reproduction, published in 1964, of the original map. Oversize.",,Historical Map,,,,,District of Columbia,,,,1 sheet,1792,1792,plan-of-the-city-of-washington,
BA 093,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Tracing of Baltimore County Portion of Map of the State of Maryland,,http://vocab.lib.umd.edu/form#maps,,"Shows principle dwellings, mills, roads and places of worship. Information added by John McGrain in 1982.",,Thematic Map,,,,,,,Baltimore County,,1 sheet,1794/1982,1794,tracing-of-baltimore-county,
MD 123,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,The State of Maryland From the Best Authorities.,,http://vocab.lib.umd.edu/form#maps,,,,Historical maps,,"Lewis, Samuel.",,,Maryland,,,,1 sheet,1794,1794,the-state-of-maryland,maryland-maps/maps/2008/12/md123.jpg/md123_original.jpg
MD/VA 032,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Map of Virginia, Maryland and Delaware",,http://vocab.lib.umd.edu/form#maps,,,,Historical maps,,"Mutlow, I",,,Maryland and Virginia,,,,1 sheet,1794,1794,map-of-virginia-maryland,maryland-maps/maps/2008/12/mdva32d.jpg/mdva32d_original.jpg
MD/DE 020,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,The States of Maryland and Delaware From the Latest Surveys,,http://vocab.lib.umd.edu/form#maps,,Two copies: original and reproduction.,,Historical maps,,"Martin, D.",,,Maryland and Delaware,,,,1 sheet,1795,1795,the-states-of-maryland,maryland-maps/maps/2008/12/mdde020d.jpg/mdde020d_original.jpg
MD/DE 005,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Map of the States of Maryland and Delaware,http://hdl.handle.net/1903.1/12525,http://vocab.lib.umd.edu/form#maps,,,,Historical maps,,"Denison, J.",,Chesapeake Bay,Maryland and Delaware,,,,1 sheet,1796~,1796 (circa),map-of-the-states-of-maryland,maryland-maps/maps/1796/01/mdde-005.jpg/mdde-005_original.jpg
MD 037,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Maryland, Inset: Maryland West of Cumberland.",,http://vocab.lib.umd.edu/form#maps,,,,Historic Map,,"Barker, W.",,,Maryland,,,,1 sheet,1796,1796,maryland-inset-maryland,maryland-maps/maps/2008/12/md037.jpg/md037_original.jpg
MD 038,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Maryland, 1796",,http://vocab.lib.umd.edu/form#maps,,Published in Philadelphia. Probably from Carey's American Pocket Atlas,,Historic Map,,,,,Maryland,,,,1 sheet,1796?,1796?,maryland-1796,maryland-maps/maps/2008/12/md038.jpg/md038_original.jpg
CB 035,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,A Map of the Head of the Chesapeake Bay and Susquehanna River,,http://vocab.lib.umd.edu/form#maps,,Inset: Havre de Grace.,,Regional Map,,"Hauducoeur, C.P.",,Chesapeake Bay,,,,Havre de Grace,1 sheet,1799,1799,a-map-of-the-head-of-the,
MD/DE 030,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,States of Maryland and Delaware From the Latest Surveys,,http://vocab.lib.umd.edu/form#maps,,2 copies,,historical maps,,"Anderson, John.",,Chesapeake Bay,Maryland and Delaware,,,,1 sheet,1799,1799,states-of-maryland-and002,
BC 016,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Plan of the City & Environs of Baltimore,http://hdl.handle.net/1903.1/12539%20,http://vocab.lib.umd.edu/form#maps,,,,Historical maps,,Warner & Hanna,,,,,,Baltimore City,2 sheets,1801,1801,plan-of-the-city-environs,maryland-maps/maps/1801/01/bc-016_1.jpg/bc-016_1_original.jpg
BC 006,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Plan of the City & Environments of Baltimore,,http://vocab.lib.umd.edu/form#maps,,Facsimile,,Historical maps,,Warner & Hanna,,,,,,Baltimore City,1 sheet,1801,1801,plan-of-the-city-environments,
MD 110,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Maryland [and] Western Part of Maryland,http://hdl.handle.net/1903.1/12528,http://vocab.lib.umd.edu/form#maps,,Map was drawn prior to 1804.,,Historical maps,,"Lewis, Samuel",,Chesapeake Bay,Maryland,,,,1 sheet,1804~,1804 (circa),maryland-and-western,maryland-maps/maps/1804/01/md-110.jpg/md-110_original.jpg
FR 042,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"A Map of Frederick and Washington Counties, State of Maryland",,http://vocab.lib.umd.edu/form#maps,,Reprint by the Frederick County Historical Society: 1990.,,Historical Map,,"Varle, Charles",,,,,Washington County,,1 sheet,1808,1808,a-map-of-frederick-and,
MD 039,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Maryland, Inset: Western part of Maryland (Continued)",,http://vocab.lib.umd.edu/form#maps,,Two copies; copy 1 colored.,,Historical Map,,"Arrowsmith, Aaron",,,Maryland,,,,2 sheets,1812,1812,maryland-inset-western,maryland-maps/maps/2008/12/md039.jpg/md039_original.jpg
MD 032,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Maryland, Inset: Maryland West of Cumberland",,http://vocab.lib.umd.edu/form#maps,,,,Historic Map,,"Barker, W.",,,Maryland,,,,1 sheet,1813,1813,maryland-inset-maryland002,maryland-maps/maps/2008/12/md0321.jpg/md0321_original.jpg
MAS 030,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Map of the American Coast from Lynhauen Bay to Narraganset Bay,,http://vocab.lib.umd.edu/form#maps,,,,Historical maps,,"Melish, John",,,Mid-Atlantic,,,,1 sheet,1813,1813,map-of-the-american-coast,
BC 131,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Sketch of the Military Topography, Baltimore and Vicinity",,http://vocab.lib.umd.edu/form#maps,,,,Historical maps,,,,,,,,Baltimore City,1 sheet,1814/1818,1814,sketch-of-the-military,
G3840 1814.C37 MAP 0408,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Maryland. Inset: Western part of Maryland,http://hdl.handle.net/1903.1/12533,http://vocab.lib.umd.edu/form#maps,,SPECIAL PERMISSION USE ONLY.,,historical maps,,"Carey, Mathew",,Chesapeake Bay,Maryland,,,,1 sheet,1814,1814,maryland.-inset-western,
BC 221,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,The plan of the city of Baltimore as enlarged and laid out under the direction of the commissioners appointed by the general assembly of Maryland citizens,,http://vocab.lib.umd.edu/form#maps,,Oversize map.,,Historical maps,,L.H. Poppleton,,,,,Baltimore County,Baltimore City,1 sheet,1818,1818,the-plan-of-the-city-of,maryland-maps/maps/2010/03/poppleton.jpg/poppleton_original.jpg
MD 036,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Maryland, Inset: City of Baltimore",,http://vocab.lib.umd.edu/form#maps,,,,Historic Map,,"Lucas, F. Jr.",,,Maryland,,,,2 sheets,1819,1819,maryland-inset-city,maryland-maps/maps/2008/12/md036dc.jpg/md036dc_original.jpg
G3880 1820.T35,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Virginia, Maryland and Delaware",,http://vocab.lib.umd.edu/form#maps,,,,Historical maps,,"Tanner, Henry S",,,Maryland and Virginia,,,,1 sheet,1820,1820,virginia-maryland-and002,
MD 029,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Geographical, Statistical and Historical Map of Maryland, with Appendix",,http://vocab.lib.umd.edu/form#maps,,,,Historical Map,,"Lucas, Fielding",,,Maryland,,,,1 sheet,1822,1822,geographical-statistical,maryland-maps/maps/2008/12/md029d.jpg/md029d_original.jpg
MD 163,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Maryland, 1824",,http://vocab.lib.umd.edu/form#maps,,"See also MD 40 which is the same map, but with different detail of surrounding states.",,Historical maps,,"Finley, A. (publisher)",,,Maryland,,,,1 sheet,1824,1824,maryland-1824,maryland-maps/maps/2008/12/md163.jpg/md163_original.jpg
MD 030,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Carte geographique, statistique et historique du Maryland",,http://vocab.lib.umd.edu/form#maps,,,,Historical Map,,"Carez, J.",,,Maryland,,,,1 sheet,1825?,1825?,carte-geographique-statistique,maryland-maps/maps/2008/12/md030d.jpg/md030d_original.jpg
MD 040,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Maryland, 1826",,http://vocab.lib.umd.edu/form#maps,,,,Historic Map,,"Finley, Anthony",,,Maryland,,,,1 sheet,1826,1826,maryland-1826,maryland-maps/maps/2008/12/md040.jpg/md040_original.jpg
